Country,Risk Level,Description,Last Updated
Macao,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Maldives,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Mali,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Malta,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Marshall Islands,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Mauritania,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-05-21 13:56:22
Micronesia (FSM),normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Moldova,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Monaco,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Mongolia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Montenegro,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Morocco,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Mozambique,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Namibia,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Nauru,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Nepal,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Netherlands,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
New Caledonia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
New Zealand,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Niger,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Niue,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
North Korea,do-not-travel,Avoid all travel,2025-05-21 13:56:22
North Macedonia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Northern Marianas,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Norway,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Pakistan,reconsider-travel,Avoid non-essential travel (with regional advisories),2025-05-21 13:56:22
Palau,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Papua New Guinea,reconsider-travel,Avoid non-essential travel,2025-05-21 13:56:22
Paraguay,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Poland,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Portugal,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Russia,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Saint-Pierre-et-Miquelon,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Samoa,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
San Marino,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Serbia,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Seychelles,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Singapore,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Slovakia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Slovenia,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Solomon Islands,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Somalia,do-not-travel,Avoid all travel,2025-05-21 13:56:22
South Sudan,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Sudan,do-not-travel,Avoid all travel,2025-05-21 13:56:22
Switzerland,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Taiwan,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Tajikistan,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Timor-Leste (East Timor),increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Togo,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Tokelau,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Tonga,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Tunisia,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Turkmenistan,increased-caution,Exercise a high degree of caution (with regional advisories),2025-05-21 13:56:22
Tuvalu,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Ukraine,do-not-travel,Avoid all travel,2025-05-21 13:56:22
United Kingdom,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
Uruguay,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Uzbekistan,normal-precautions,Take normal security precautions (with regional advisories),2025-05-21 13:56:22
Vanuatu,normal-precautions,Take normal security precautions,2025-05-21 13:56:22
Zimbabwe,increased-caution,Exercise a high degree of caution,2025-05-21 13:56:22
