Country,Risk Level,Description,Last Updated
Jamaica,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:07:07
Japan,normal-precautions,"
Take normal security precautions",2025-06-24 08:50:53
Jordan,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-06-24 12:59:25
Kazakhstan,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Kenya,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 08:55:40
Kiribati,normal-precautions,"
Take normal security precautions",2025-06-23 15:01:19
Kosovo,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Kuwait,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 12:59:25
Kyrgyzstan,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Laos,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Latvia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Lebanon,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-06-24 12:59:25
Lesotho,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Liberia,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Libya,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
Liechtenstein,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Lithuania,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Luxembourg,normal-precautions,"
Take normal security precautions",2025-06-19 12:32:45
Macao,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Madagascar,increased-caution,"
Exercise a high degree of caution",2025-06-16 16:03:29
Malawi,increased-caution,"
Exercise a high degree of caution",2025-06-02 12:48:31
Malaysia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:08:26
Maldives,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Mali,do-not-travel,"
Avoid all travel",2025-06-23 15:09:56
Malta,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Marshall Islands,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Martinique,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Mauritania,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-05-21 13:56:22
Mauritius,normal-precautions,"
Take normal security precautions",2025-06-16 16:08:15
Mayotte,increased-caution,"
Exercise a high degree of caution",2025-06-16 16:06:52
Mexico,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 12:23:49
Micronesia (FSM),normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Moldova,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Monaco,normal-precautions,"
Take normal security precautions",2025-06-23 08:21:49
Mongolia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Montenegro,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Montserrat,normal-precautions,"
Take normal security precautions",2025-06-04 11:54:16
Morocco,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Mozambique,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 14:13:52
Myanmar,do-not-travel,"
Avoid all travel",2025-06-20 07:12:54
Namibia,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Nauru,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Nepal,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:12:57
Netherlands,increased-caution,"
Exercise a high degree of caution",2025-06-23 09:24:17
New Caledonia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
New Zealand,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Nicaragua,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:14:56
Niger,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
Nigeria,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-06-24 15:01:57
Niue,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
North Korea,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
North Macedonia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Northern Marianas,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Norway,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Oman,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 12:59:25
Pakistan,reconsider-travel,"
Avoid non-essential travel (with regional advisories)",2025-05-21 13:56:22
Palau,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Panama,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-06-23 15:16:26
Papua New Guinea,reconsider-travel,"
Avoid non-essential travel",2025-05-21 13:56:22
Paraguay,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:18:04
Peru,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:06:20
Philippines,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:21:49
Poland,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Portugal,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Puerto Rico,normal-precautions,"
Take normal security precautions",2025-06-23 15:24:51
Qatar,increased-caution,"
Exercise a high degree of caution",2025-06-24 13:04:59
Republic of Congo (Brazzaville),increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-02 10:32:33
Réunion,normal-precautions,"
Take normal security precautions",2025-06-16 16:09:44
Romania,normal-precautions,"
Take normal security precautions",2025-06-06 12:55:15
Russia,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
Rwanda,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-06-02 10:32:33
Saint Kitts and Nevis,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Saint Lucia,normal-precautions,"
Take normal security precautions",2025-06-23 15:28:01
Saint Martin,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Saint Vincent & the Grenadines,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Saint-Barthélemy,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Saint-Pierre-et-Miquelon,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Samoa,normal-precautions,"
Take normal security precautions",2025-06-23 15:29:47
San Marino,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Sao Tome and Principe,normal-precautions,"
Take normal security precautions",2025-06-02 16:58:17
Saudi Arabia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-24 12:59:25
Senegal,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:31:54
Serbia,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Seychelles,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Sierra Leone,increased-caution,"
Exercise a high degree of caution",2025-06-03 14:21:25
Singapore,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Sint Maarten,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Slovakia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Slovenia,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Solomon Islands,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Somalia,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
South Africa,increased-caution,"
Exercise a high degree of caution",2025-06-02 12:53:07
South Korea,normal-precautions,"
Take normal security precautions",2025-06-18 05:58:54
South Sudan,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
Spain,increased-caution,"
Exercise a high degree of caution",2025-06-24 08:58:44
Sri Lanka,increased-caution,"
Exercise a high degree of caution",2025-06-23 15:33:44
Sudan,do-not-travel,"
Avoid all travel",2025-06-23 15:37:20
Suriname,normal-precautions,"
Take normal security precautions",2025-06-03 10:02:46
Sweden,increased-caution,"
Exercise a high degree of caution",2025-06-09 03:37:53
Switzerland,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Syria,do-not-travel,"
Avoid all travel",2025-06-24 12:59:25
Taiwan,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Tajikistan,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Tanzania,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-02 10:32:33
Thailand,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-16 16:35:21
Timor-Leste (East Timor),increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
Togo,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:41:26
Tokelau,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Tonga,normal-precautions,"
Take normal security precautions",2025-06-23 15:42:44
Trinidad and Tobago,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 15:44:17
Tunisia,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Türkiye,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-22 12:59:02
Turkmenistan,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-05-21 13:56:22
Turks and Caicos Islands,increased-caution,"
Exercise a high degree of caution",2025-06-23 07:23:11
Tuvalu,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Uganda,increased-caution,"
Exercise a high degree of caution (with regional advisories)",2025-06-23 08:47:28
Ukraine,do-not-travel,"
Avoid all travel",2025-05-21 13:56:22
United Arab Emirates,increased-caution,"
Exercise a high degree of caution",2025-06-24 12:59:25
United Kingdom,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
United States,normal-precautions,"
Take normal security precautions",2025-06-24 16:05:34
Uruguay,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Uzbekistan,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-05-21 13:56:22
Vanuatu,normal-precautions,"
Take normal security precautions",2025-05-21 13:56:22
Venezuela,do-not-travel,"
Avoid all travel",2025-06-05 14:24:20
Vietnam,increased-caution,"
Exercise a high degree of caution",2025-05-27 11:21:30
Virgin Islands (U.S.),normal-precautions,"
Take normal security precautions",2025-06-23 15:47:15
Yemen,do-not-travel,"
Avoid all travel",2025-06-24 12:59:25
Zambia,normal-precautions,"
Take normal security precautions (with regional advisories)",2025-06-02 10:32:33
Zimbabwe,increased-caution,"
Exercise a high degree of caution",2025-05-21 13:56:22
